2017-09-29 11:20:40 INFO run.py:215 GNS3 server version 2.0.3
2017-09-29 11:20:40 INFO run.py:217 Copyright (c) 2007-2017 GNS3 Technologies Inc.
2017-09-29 11:20:40 INFO run.py:220 Config file /etc/xdg/GNS3.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /gns3_server.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /Users/admin/.config/GNS3.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /etc/xdg/GNS3/gns3_server.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /etc/gns3/gns3_server.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /Users/admin/.config/GNS3/gns3_server.conf loaded
2017-09-29 11:20:40 WARNING run.py:226 Local mode is enabled. Beware, clients will have full control on your filesystem
2017-09-29 11:20:40 INFO run.py:229 uBridge will be used to handle node connections
2017-09-29 11:20:40 INFO run.py:239 Running with Python 3.5.2 and has PID 98158
2017-09-29 11:20:40 INFO web_server.py:265 Starting server on 127.0.0.1:3080
2017-09-29 11:20:40 INFO __init__.py:53 Load controller configuration file /Users/admin/.config/GNS3/gns3_controller.conf
2017-09-29 11:20:40 INFO __init__.py:57 Start controller
2017-09-29 11:20:40 INFO compute.py:79 Create compute local
2017-09-29 11:20:40 INFO base_events.py:979 <Server sockets=[<socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('127.0.0.1', 3080)>]> is serving
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/version HTTP/1.1" 200 45 "-" "Python-urllib/3.5"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/version HTTP/1.1" 200 45 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/version HTTP/1.1" 200 45 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/symbols/%3A/symbols/hub.svg/raw HTTP/1.1" 200 7391 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/symbols/%3A/symbols/ethernet_switch.svg/raw HTTP/1.1" 200 9028 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/version HTTP/1.1" 200 45 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/version HTTP/1.1" 200 45 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/symbols/%3A/symbols/cloud.svg/raw HTTP/1.1" 200 27736 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/symbols/%3A/symbols/frame_relay_switch.svg/raw HTTP/1.1" 200 9782 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/symbols/%3A/symbols/atm_switch.svg/raw HTTP/1.1" 200 9714 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/symbols/%3A/symbols/vpcs_guest.svg/raw HTTP/1.1" 200 19249 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/computes HTTP/1.1" 200 401 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/gns3vm HTTP/1.1" 200 148 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "GET /v2/projects HTTP/1.1" 200 2 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:41 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:41 +0000] "POST /v2/settings HTTP/1.1" 201 1022 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:43 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:43 +0000] "GET /v2/compute/capabilities HTTP/1.1" 200 290 "-" "Python/3.5 aiohttp/1.3.5"
2017-09-29 11:20:46 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:46 +0000] "GET /v2/computes HTTP/1.1" 200 741 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:20:52 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:20:52 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
